lemma	pos	meaning	freq_estimate	source
applar	applar		1	whitaker
applaud	applaud		1	whitaker
applaus	applaus		1	whitaker
applausor	applausor		1	whitaker
applex	applic		1	whitaker
applic	applic		3	whitaker
applicabil	applicabil		1	whitaker
applicat	applicat		1	whitaker
applicatio	application		1	whitaker
applod	applod		1	whitaker
applor	applor		1	whitaker
applud	applud		1	whitaker
applumb	applumb		1	whitaker
applumbator	applumbator		1	whitaker
appon	appon		1	whitaker
apporrect	apporrect		1	whitaker
apport	apport		1	whitaker
apportatio	apportation		1	whitaker
apposc	apposc		1	whitaker
apposit	apposit		3	whitaker
apposite	ADV		1	whitaker
appositio	apposition		1	whitaker
appostul	appostul		1	whitaker
appot	appot		1	whitaker
apprec	apprec		1	whitaker
appreci	appreci		1	whitaker
appreciat	appreciat		1	whitaker
appreciatament	appreciatament		1	whitaker
appreciatio	appreciation		1	whitaker
apprehend	apprehend		1	whitaker
apprehensibil	apprehensibil		1	whitaker
apprehensio	apprehension		1	whitaker
apprend	apprend		1	whitaker
apprens	apprens		1	whitaker
appreti	appreti		1	whitaker
appretiat	appretiat		1	whitaker
appretiatament	appretiatament		1	whitaker
appretiatio	appretiation		1	whitaker
appri	ADJ		1	whitaker
apprim	apprim		1	whitaker
apprime	ADV		1	whitaker
approb	approb		2	whitaker
approbatio	approbation		1	whitaker
approbator	approbator		1	whitaker
approbe	ADV		1	whitaker
appromissor	appromissor		1	whitaker
appromitt	appromitt		1	whitaker
appron	appron		1	whitaker
approper	approper		1	whitaker
appropi	appropi		1	whitaker
appropinqu	appropinqu		1	whitaker
appropinquatio	appropinquation		1	whitaker
appropri	appropri		1	whitaker
appropriatio	appropriation	~ ciborum => making flesh/blood of food	1	whitaker
approxim	approxim		1	whitaker
appugn	appugn		1	whitaker
appuls	appuls		1	whitaker
apr	ADJ		2	whitaker
aprari	aprari		1	whitaker
apric	apric		5	whitaker
apricatio	aprication		1	whitaker
apricitas	apricitat		1	whitaker
apricul	apricul		2	whitaker
april	April		1	whitaker
aprilis	April		1	whitaker
aprin	aprin		1	whitaker
aprine	aprine		1	whitaker
aproni	aproni		1	whitaker
aproxis	aprox		1	whitaker
apruco	aprucon		1	whitaker
aprugine	aprugine		1	whitaker
aprugn	aprugn		2	whitaker
aprun	aprun		2	whitaker
aps	ap		1	whitaker
apsced	apsced		1	whitaker
apscess	apscess		1	whitaker
apscessio	apscession		1	whitaker
apscid	apscid		2	whitaker
apscind	apscind		1	whitaker
apscis	apscis		1	whitaker
apscise	ADV		1	whitaker
apscisio	apscision		1	whitaker
apscissio	apscission		1	whitaker
apscond	apscond		1	whitaker
apscondit	apscondit		2	whitaker
apscondite	ADV		1	whitaker
apscons	apscons		1	whitaker
apsconse	ADV		1	whitaker
apsconsio	apsconsion		1	whitaker
apsegmen	apsegmin		1	whitaker
apsens	apsent		1	whitaker
apsent	apsent		1	whitaker
apsenthi	apsenthi		1	whitaker
apsenti	apsenti		1	whitaker
apsentio	apsention		1	whitaker
apsentiv	apsentiv		1	whitaker
apsid	apsid		1	whitaker
apsidat	apsidat		1	whitaker
apsili	apsil		1	whitaker
apsimil	apsimil		1	whitaker
apsinthi	apsinthi		4	whitaker
apsinthit	apsinthit		1	whitaker
apsis	apsid		1	whitaker
apsist	apsist		2	whitaker
apsit	INTERJ		1	whitaker
apsocer	apsocer		1	whitaker
apsolut	apsolut		1	whitaker
apsolute	apsolutius		1	whitaker
apsolutio	apsolution		1	whitaker
apsolutori	apsolutori		2	whitaker
apsolv	apsolv		1	whitaker
apson	apson		2	whitaker
apsone	ADV		1	whitaker
apsorb	apsorb		2	whitaker
apsorptio	apsorption		1	whitaker
apsque	PREP		1	whitaker
apst	apst		1	whitaker
apstanti	apstanti		1	whitaker
apstemi	apstemi		2	whitaker
apsterg	apsterg		2	whitaker
apsterr	apsterr		1	whitaker
apstin	apstin		1	whitaker
apstinax	apstinac		1	whitaker
apstinens	apstinent		1	whitaker
apstinenter	ADV		1	whitaker
apstinenti	apstinenti		1	whitaker
apstractio	apstraction		1	whitaker
apstrah	apstrah		1	whitaker
apstrud	apstrud		1	whitaker
apstrus	apstrus		1	whitaker
apstruse	ADV		1	whitaker
apstrusio	apstrusion		1	whitaker
apstul	apstul		1	whitaker
apsum	apsum		1	whitaker
apsumedo	apsumedin		1	whitaker
apsumptio	apsumption		1	whitaker
apsurd	apsurd		1	whitaker
apsurde	ADV		1	whitaker
apsyct	apsyct		1	whitaker
apt	apt		2	whitaker
aptatio	aptation		1	whitaker
apte	aptius		1	whitaker
apter	apter		1	whitaker
apth	apth		1	whitaker
aptitudo	aptitudin		1	whitaker
aptot	aptot		1	whitaker
aptr	aptr		1	whitaker
apu	apu		1	whitaker
apud	PREP		1	whitaker
apuls	apuls		1	whitaker
apus	apod		1	whitaker
aput	PREP		1	whitaker
apyr	apyr		2	whitaker
apyren	apyren		2	whitaker
apyret	apyret		1	whitaker
apyrin	apyrin		2	whitaker
aqu	aqu		2	whitaker
aquaduct	aquaduct		1	whitaker
aquaeduct	aquaeduct		1	whitaker
aquaelici	aquaelici		1	whitaker
aquagi	aquagi		1	whitaker
aqual	aqual		1	whitaker
aqualicul	aqualicul		1	whitaker
aqualis	aqual		1	whitaker
aquaman	aquaman		1	whitaker
aquamanile	aquamanil		1	whitaker
aquari	aquari		3	whitaker
aquariol	aquariol		1	whitaker
aquat	aquat		2	whitaker
aquate	aquatius		1	whitaker
aquatic	aquatic		2	whitaker
aquatil	aquatil		1	whitaker
aquatile	aquatil		1	whitaker
aquatio	aquation		1	whitaker
aquator	aquator		1	whitaker
aque	aque		1	whitaker
aquicel	aquicel		1	whitaker
aquiduc	aquiduc		1	whitaker
aquifoli	aquifoli		3	whitaker
aquifug	aquifug		1	whitaker
aquigen	aquigen		1	whitaker
aquil	aquil		3	whitaker
aquileg	aquileg		1	whitaker
aquilei	Aquilei		1	whitaker
aquilent	aquilent		1	whitaker
aquilex	aquileg		1	whitaker
aquili	Aquili		2	whitaker
aquilici	aquilici		1	whitaker
aquilifer	aquilifer		2	whitaker
aquilin	aquilin		1	whitaker
aquilo	aquilon		1	whitaker
aquilonal	aquilonal		1	whitaker
aquilonar	aquilonar		1	whitaker
aquiloni	aquiloni		2	whitaker
aquiminal	aquiminal		1	whitaker
aquiminale	aquiminal		1	whitaker
aquiminari	aquiminari		1	whitaker
aquimolin	aquimolin		1	whitaker
aquisgran	Aquisgran		1	whitaker
aquisgranen	Aquisgranen		1	whitaker
aquitan	Aquitan		1	whitaker
aquitani	Aquitani		1	whitaker
aquivergi	aquivergi		1	whitaker
aquol	aquol		1	whitaker
aquos	aquos		1	whitaker
aquul	aquul		1	whitaker
ar	ar		6	whitaker
arabarch	arabarch		1	whitaker
arabarchi	arabarchi		1	whitaker
arabi	Arabi	~ Felix => Yemen	1	whitaker
arabic	arabic		1	whitaker
arabice	ADV		1	whitaker
arabil	arabil	bos ~ => plow ox	1	whitaker
arabs	Arab		1	whitaker
arac	arac		1	whitaker
arachidn	arachidn		2	whitaker
arachis	arachid		1	whitaker
arachnoid	arachnoid	tunica arachnoides => retina of the eye	1	whitaker
araci	araci		1	whitaker
aracostyl	aracostyl		2	whitaker
arale	aral		1	whitaker
aranci	aranci		1	whitaker
aranciat	aranciat		1	whitaker
arane	arane		4	whitaker
araneans	araneant		1	whitaker
araneol	araneol		2	whitaker
araneos	araneos		1	whitaker
arangi	arangi		1	whitaker
aranti	aranti		3	whitaker
arar	Arar		1	whitaker
araris	Arar		1	whitaker
arat	arat		1	whitaker
arater	aratr		1	whitaker
arati	arati		1	whitaker
aratio	aration		1	whitaker
aratiuncul	aratiuncul		1	whitaker
arator	arator		2	whitaker
aratori	aratori		1	whitaker
aratr	aratr		2	whitaker
arbavali	Arbavali		1	whitaker
arbill	arbill		1	whitaker
arbit	arbit		1	whitaker
arbiter	arbitr		1	whitaker
arbiteri	arbiteri		1	whitaker
arbitr	arbitr		3	whitaker
arbitral	arbitral		1	whitaker
arbitrari	arbitrari		1	whitaker
arbitrario	ADV		1	whitaker
arbitrat	arbitrat		1	whitaker
arbitratio	arbitration		1	whitaker
arbitrator	arbitrator		1	whitaker
arbitratrix	arbitratric		1	whitaker
arbitri	arbitri		1	whitaker
arbitrix	arbitric		1	whitaker
arbor	arbor		1	whitaker
arborari	arborari	falx ~ => pruning hook; picus ~ => woodpecker	1	whitaker
arborator	arborator		1	whitaker
arbore	arbore		1	whitaker
arboresc	arboresc		1	whitaker
arboret	arboret		1	whitaker
arbori	arbori		2	whitaker
arbos	arbos		1	whitaker
arbuscul	arbuscul		1	whitaker
arbust	arbust		4	whitaker
arbustiv	arbustiv		1	whitaker
arbustul	arbustul		1	whitaker
arbut	arbut		2	whitaker
arbute	arbute		1	whitaker
arc	arc		6	whitaker
arcan	arcan		3	whitaker
arcano	arcanius		1	whitaker
arcari	arcari		2	whitaker
arcatur	arcatur		1	whitaker
arcebi	arcebi		1	whitaker
arcelac	arcelac		1	whitaker
arcell	arcell		1	whitaker
arcellac	arcellac		1	whitaker
arcellul	arcellul		1	whitaker
arcer	arcer		2	whitaker
arcerac	arcerac		1	whitaker
arcers	arcers		1	whitaker
arcersi	arcers		1	whitaker
arcess	arcess		1	whitaker
arcessi	arcess		1	whitaker
arcessit	arcessit		2	whitaker
arcessitio	arcessition	dies propriae ~ => day of death	1	whitaker
arcessitor	arcessitor		1	whitaker
arceuthin	arceuthin		1	whitaker
arch	arch		1	whitaker
archaeolog	archaeolog		1	whitaker
archaeologi	archaeologi		1	whitaker
archaeologic	archaeologic		1	whitaker
archaic	archaic		1	whitaker
archangel	archangel		1	whitaker
archebi	archebi		1	whitaker
archeot	archeot		1	whitaker
archetyp	archetyp		3	whitaker
archezostis	archezost		1	whitaker
archi	Archi		2	whitaker
archiac	Archiac		1	whitaker
archiater	archiatr		1	whitaker
archiati	archiati		1	whitaker
archiatr	archiatr		1	whitaker
archibasilic	archibasilic		1	whitaker
archibucol	archibucol		1	whitaker
archibucul	archibucul		1	whitaker
archibugi	archibugi		1	whitaker
archicantor	archicantor		1	whitaker
archicapellan	archicapellan		1	whitaker
archidendrophor	archidendrophor		1	whitaker
archidiacon	archidiacon		1	whitaker
archidiaconat	archidiaconat		1	whitaker
archidict	archidict		1	whitaker
archidiocesis	archidioces		1	whitaker
archielect	archielect		1	whitaker
archiepiscop	archiepiscop		1	whitaker
archiepiscopal	archiepiscopal		1	whitaker
archiepiscopat	archiepiscopat		1	whitaker
archiere	archiere		1	whitaker
archierosyn	archierosyn		1	whitaker
archigall	archigall		1	whitaker
archigeron	archigeront		1	whitaker
archigubern	archigubern		1	whitaker
archimagir	archimagir		1	whitaker
archimandrit	archimandrit		1	whitaker
archimim	archimim		2	whitaker
archiparaphonist	archiparaphonist		1	whitaker
archipater	archipatr		1	whitaker
archipirat	archipirat		1	whitaker
archipresbyter	archipresbyter		1	whitaker
archipresbyterat	archipresbyterat		1	whitaker
archipresul	archipresul		1	whitaker
archisacerdos	archisacerdont		1	whitaker
archisodalitas	archisodalitat		1	whitaker
archisodaliti	archisodaliti		1	whitaker
archisteri	archisteri		1	whitaker
archisynagog	archisynagog		1	whitaker
architect	architect		4	whitaker
architecton	architecton		1	whitaker
architectonic	architectonic		2	whitaker
architectur	architectur		1	whitaker
architriclin	architriclin		1	whitaker
archiv	archiv		1	whitaker
archivi	archivi		1	whitaker
archon	archont		1	whitaker
archonti	archonti		1	whitaker
arci	arci		1	whitaker
arcifinal	arcifinal		1	whitaker
arcifini	arcifini		1	whitaker
arcipotens	arcipotent		1	whitaker
arcirm	arcirm		1	whitaker
arciselli	arciselli		1	whitaker
arcitect	arcitect		1	whitaker
arcitenens	Arcitenent		2	whitaker
arcosoli	arcosoli		1	whitaker
arcs	arc		1	whitaker
arct	Arct		4	whitaker
arcte	arctius		1	whitaker
arcti	arcti		1	whitaker
arctic	arctic		5	whitaker
arcto	Arcto		2	whitaker
arctophyll	arctophyll		1	whitaker
arctur	Arctur		1	whitaker
arcu	arcu		1	whitaker
arcuari	arcuari		2	whitaker
arcuat	arcuat		3	whitaker
arcuatil	arcuatil		1	whitaker
arcuatim	ADV		1	whitaker
arcuatio	arcuation		1	whitaker
arcuatur	arcuatur		1	whitaker
arcubalist	arcubalist		2	whitaker
arcuballist	arcuballist		2	whitaker
arcul	arcul		2	whitaker
arculari	arculari		1	whitaker
arculat	arculat		1	whitaker
arcum	arcum		1	whitaker
ard	ard		2	whitaker
ardalio	ardalion		1	whitaker
arde	arde		1	whitaker
ardelio	ardelion		1	whitaker
ardens	ardent		1	whitaker
ardenter	ardentius		1	whitaker
ardeol	ardeol		1	whitaker
ardesc	ardesc		1	whitaker
ardesiac	ardesiac		1	whitaker
ardifet	ardifet		1	whitaker
ardiol	ardiol		1	whitaker
ardor	ardor		1	whitaker
ardu	ardu		2	whitaker
arduitas	arduitat		1	whitaker
arduv	arduv		1	whitaker
are	are		2	whitaker
areal	areal		1	whitaker
arefaci	arefac		1	whitaker
aren	aren		1	whitaker
arenace	arenace		1	whitaker
arenari	arenari		4	whitaker
arenat	arenat		2	whitaker
arenatio	arenation		1	whitaker
areng	areng		1	whitaker
arenifodin	arenifodin		1	whitaker
arenivag	arenivag		1	whitaker
arenos	arenos		2	whitaker
arens	arent		1	whitaker
arenul	arenul		1	whitaker
areol	areol		1	whitaker
arepennis	arepenn		1	whitaker
aresc	aresc		2	whitaker
aretalog	aretalog		1	whitaker
arfaci	arfac		1	whitaker
arferi	arferi		1	whitaker
argem	argem		1	whitaker
argema	argemat		1	whitaker
argemon	argemon		1	whitaker
argemoni	argemoni		2	whitaker
argenn	argenn		1	whitaker
argent	argent	argentum vivum => quicksilver/mercury	1	whitaker
argentari	argentari		5	whitaker
argentat	argentat		1	whitaker
argente	argente		2	whitaker
argenteol	argenteol		1	whitaker
argentifodin	argentifodin		1	whitaker
argentiol	argentiol		1	whitaker
argentofodin	argentofodin		1	whitaker
argentorat	Argentorat		1	whitaker
argentos	argentos		1	whitaker
argest	Argest		1	whitaker
argill	argill		1	whitaker
argillace	argillace		1	whitaker
argillos	argillos		1	whitaker
argimoni	argimoni		1	whitaker
argitis	argitid		2	whitaker
argu	argu		1	whitaker
argument	argument		3	whitaker
argumentabil	argumentabil		1	whitaker
argumental	argumental		1	whitaker
argumentaliter	ADV		1	whitaker
argumentatio	argumentation		1	whitaker
argumentativ	argumentativ		1	whitaker
argumentator	argumentator		1	whitaker
argumentatrix	argumentatric		1	whitaker
argumentos	argumentos		1	whitaker
argut	argut		3	whitaker
argutatio	argutation		1	whitaker
argutator	argutator		1	whitaker
argutatrix	argutatric		2	whitaker
argute	argutius		1	whitaker
arguti	arguti		1	whitaker
argutiol	argutiol		1	whitaker
argutul	argutul		1	whitaker
argyr	argyr		1	whitaker
argyranch	argyranch		1	whitaker
argyraspis	argyraspid		2	whitaker
argyritis	argyritid		1	whitaker
argyrocorinth	argyrocorinth		1	whitaker
argyrodamas	argyrodamant		1	whitaker
arhythm	arhythm		1	whitaker
arhythmat	arhythmat		1	whitaker
ari	ari		1	whitaker
arian	Arian		1	whitaker
arianis	arianid		1	whitaker
arianism	Arianism		1	whitaker
aricol	aricol		1	whitaker
arid	arid		3	whitaker
aride	ADV		1	whitaker
ariditas	ariditat		1	whitaker
aridul	aridul		1	whitaker
ariel	N		1	whitaker
arier	arier		1	whitaker
aries	ariet		1	whitaker
ariet	ariet		1	whitaker
arietari	arietari		1	whitaker
arietatio	arietation		1	whitaker
arietill	arietill		1	whitaker
arietin	arietin		1	whitaker
arific	arific		1	whitaker
arilator	arilator		1	whitaker
arillator	arillator		1	whitaker
arinc	arinc		1	whitaker
ariol	ariol		3	whitaker
ariovist	Ariovist		1	whitaker
aris	arid		1	whitaker
arist	arist		2	whitaker
aristat	aristat		1	whitaker
aristereon	aristereon		1	whitaker
aristifer	aristifer		1	whitaker
aristiger	aristiger		1	whitaker
aristis	aristid		1	whitaker
aristolochi	aristolochi		1	whitaker
aristoloci	aristoloci		1	whitaker
aristos	aristos		1	whitaker
aristotoles	Aristotol		1	whitaker
arithm	Arithm		1	whitaker
arithmetic	arithmetic		4	whitaker
aritudo	aritudin		1	whitaker
arm	arm		3	whitaker
armamax	armamax		1	whitaker
armament	armament		1	whitaker
armamentari	armamentari		2	whitaker
armari	armari		2	whitaker
armariol	armariol		1	whitaker
armat	armat		3	whitaker
armatur	armatur	levis ~ pedites => light infantry	1	whitaker
armellin	armellin		1	whitaker
armeni	Armeni		2	whitaker
armeniac	armeniac		2	whitaker
arment	arment		2	whitaker
armental	armental		1	whitaker
armentari	armentari		2	whitaker
armentici	armentici		1	whitaker
armentiv	armentiv		1	whitaker
armentos	armentos		1	whitaker
armiclaus	armiclaus		1	whitaker
armicustos	armicustod		1	whitaker
armidoctor	armidoctor		1	whitaker
armifer	armifer		1	whitaker
armiger	armiger	Iovis armigera => Jove's armor-bearer = the eagle	3	whitaker
armilaus	armilaus		1	whitaker
armill	armill		2	whitaker
armillat	armillat		1	whitaker
armilustri	Armilustri		1	whitaker
armipotens	armipotent		1	whitaker
armipotenti	armipotenti		1	whitaker
armison	armison		1	whitaker
armit	armit		1	whitaker
armoni	armoni		1	whitaker
armoniac	armoniac		1	whitaker
armonic	armonic		3	whitaker
armorace	armorace		1	whitaker
armoraci	armoraci		2	whitaker
arn	arn		2	whitaker
arnacis	arnacid		1	whitaker
arnogloss	arnogloss		1	whitaker
aroma	aromat		1	whitaker
aromatari	aromatari		1	whitaker
aromatic	aromatic		2	whitaker
aromatit	aromatit		1	whitaker
aromatitis	aromatitid		1	whitaker
aromatiz	aromatiz		1	whitaker
aromatizans	aromatizant		1	whitaker
aromatopol	aromatopol		1	whitaker
aromatopoli	aromatopoli		1	whitaker
arpast	arpast		1	whitaker
arqu	arqu		1	whitaker
arquat	arquat		3	whitaker
arquatur	arquatur		1	whitaker
arquipotens	arquipotent		1	whitaker
arquitenens	Arquitenent		2	whitaker
arquitis	arquit		1	whitaker
arr	arr		1	whitaker
arrabo	arrabon		1	whitaker
arral	arral		1	whitaker
arrami	arrami		1	whitaker
arrect	arrect		1	whitaker
arrectari	arrectari		2	whitaker
arremig	arremig		1	whitaker
arrenic	arrenic		1	whitaker
arrep	arrep		1	whitaker
arrepti	arrepti		1	whitaker
arreptici	arreptici		1	whitaker
arreptiti	arreptiti		1	whitaker
arreptiv	arreptiv		1	whitaker
arrest	arrest		1	whitaker
arrh	arrh		1	whitaker
arrhabo	arrhabon		1	whitaker
arrhal	arrhal		1	whitaker
arrhenic	arrhenic		1	whitaker
arrhenogon	arrhenogon		2	whitaker
arrhet	arrhet		1	whitaker
arrid	arrid		1	whitaker
arrig	arrig		2	whitaker
arripi	arrip		1	whitaker
arrisio	arrision		1	whitaker
arrisor	arrisor		1	whitaker
arrod	arrod		1	whitaker
arrog	arrog		2	whitaker
arrogans	arrogant		1	whitaker
arroganter	arrogentius		1	whitaker
arroganti	arroganti		1	whitaker
arrogatio	arrogation		1	whitaker
arrogator	arrogator		1	whitaker
arror	arror		1	whitaker
arrosor	arrosor		1	whitaker
arrotans	arrotant		1	whitaker
arru	arru		1	whitaker
arrugi	arrugi		1	whitaker
ars	art		1	whitaker
arsell	arsell		1	whitaker
arsen	arsen		1	whitaker
arsenic	arsenic		2	whitaker
arsenogon	arsenogon		1	whitaker
arsine	arsine		1	whitaker
arsis	ars		1	whitaker
art	art		4	whitaker
artab	artab		1	whitaker
artaen	artaen		1	whitaker
artat	artat		1	whitaker
arte	artius		1	whitaker
artemisi	artemisi		1	whitaker
artemon	artemon		1	whitaker
arteri	arteri		2	whitaker
arteriac	arteriac		5	whitaker
arteriotomi	arteriotomi		1	whitaker
arteriotoni	arteriotoni		1	whitaker
arthritic	arthritic		1	whitaker
arthritis	arthritid		1	whitaker
arthrosis	arthros		1	whitaker
arti	art		2	whitaker
articl	articl		1	whitaker
articul	articul		3	whitaker
articulament	articulament		1	whitaker
articular	articular		1	whitaker
articulari	articulari		1	whitaker
articulat	articulat		1	whitaker
articulate	ADV		1	whitaker
articulatim	ADV		1	whitaker
articulatio	articulation		1	whitaker
articulos	articulos		1	whitaker
artifex	artific		2	whitaker
artifici	artifici		1	whitaker
artificial	artificial		1	whitaker
artificiale	artificial		1	whitaker
artificialiter	ADV		1	whitaker
artificiat	artificiat		1	whitaker
artificios	artificios		1	whitaker
artificiose	artificiosius		1	whitaker
artificiositas	artificiositat		1	whitaker
artilleri	artilleri		1	whitaker
artocop	artocop		1	whitaker
artocreas	artocrat		1	whitaker
artocrias	artocri		1	whitaker
artolagan	artolagan		1	whitaker
artophori	artophori		1	whitaker
artopt	artopt		2	whitaker
artoptici	artoptici		1	whitaker
artr	artr		2	whitaker
artuat	artuat		1	whitaker
artuatim	ADV		1	whitaker
artufex	artufic		1	whitaker
artut	artut		1	whitaker
arul	arul		1	whitaker
arunc	arunc		1	whitaker
arundine	arundine		1	whitaker
arundinet	arundinet		1	whitaker
arundo	arundin		1	whitaker
arur	arur		1	whitaker
aruspex	aruspic		1	whitaker
arutaen	arutaen		1	whitaker
arv	arv		4	whitaker
arval	arval	frater ~ => priest who made offering to Lares for 	1	whitaker
arveh	arveh	advehor => arrive by travel, ride to	1	whitaker
arvern	Arvern		1	whitaker
arvig	arvig		1	whitaker
arvin	arvin		1	whitaker
arvix	arvig		1	whitaker
arx	arc		1	whitaker
arytaen	arytaen		1	whitaker
as	as		2	whitaker
asar	asar		1	whitaker
asarot	asarot		4	whitaker
asbest	asbest		1	whitaker
asbestin	asbestin		1	whitaker
ascalabot	ascalabot		1	whitaker
ascali	ascali		1	whitaker
ascalp	ascalp		1	whitaker
ascaules	ascaul		1	whitaker
asce	asce	sub ~ => under the trowel/construction	1	whitaker
ascell	ascell		1	whitaker
ascend	ascend		1	whitaker
ascendens	ascendent		1	whitaker
ascendibil	ascendibil		1	whitaker
ascens	ascens		1	whitaker
ascensio	ascension		1	whitaker
ascensor	ascensor		1	whitaker
ascesis	asces		3	whitaker
ascet	ascet		1	whitaker
asceteri	asceteri		1	whitaker
ascetic	ascetic		1	whitaker
ascetri	ascetri		1	whitaker
asci	asc		4	whitaker
ascisc	ascisc		1	whitaker
ascit	ascit		3	whitaker
asclepi	asclepi		1	whitaker
asclepias	asclepiad		1	whitaker
ascop	ascop		1	whitaker
ascoper	ascoper		1	whitaker
ascrib	ascrib		1	whitaker
ascriptici	ascriptici		1	whitaker
ascriptio	ascription		1	whitaker
ascriptiv	ascriptiv		1	whitaker
ascriptor	ascriptor		1	whitaker
ascyr	ascyr		1	whitaker
ascyroides	ascyrod		1	whitaker
asell	asell		2	whitaker
asellul	asellul		1	whitaker
aseptic	aseptic		1	whitaker
asexual	asexual		1	whitaker
asi	Asi		1	whitaker
asian	Asian		2	whitaker
asiatic	Asiatic		1	whitaker
asil	asil		1	whitaker
asin	asin		3	whitaker
asinal	asinal		1	whitaker
asinari	asinari		2	whitaker
asinastr	asinastr		1	whitaker
asinin	asinin		1	whitaker
asinusc	asinusc		1	whitaker
asio	asion		1	whitaker
asomat	asomat		1	whitaker
asot	asot		2	whitaker
asoti	asoti		1	whitaker
aspalat	aspalat		1	whitaker
aspalath	aspalath		2	whitaker
aspalax	aspalac		1	whitaker
aspalt	aspalt		1	whitaker
asparag	asparag	~ Gallicus => samphire/garden fennel	1	whitaker
asparg	asparg		1	whitaker
aspargo	aspargin		1	whitaker
aspect	aspect		2	whitaker
aspectabil	aspectabil		1	whitaker
aspectamen	aspectamin		1	whitaker
aspectio	aspection		1	whitaker
aspell	aspell		1	whitaker
aspendi	aspendi		1	whitaker
asper	asper		6	whitaker
aspere	asperius		1	whitaker
asperg	asperg		1	whitaker
aspergill	aspergill		1	whitaker
aspergo	aspergin		1	whitaker
asperitas	asperitat		1	whitaker
asperiter	ADV		1	whitaker
aspern	aspern		1	whitaker
aspernabil	aspernabil		1	whitaker
aspernament	aspernament		1	whitaker
aspernanter	aspernantius		1	whitaker
aspernatio	aspernation		1	whitaker
aspernator	aspernator		1	whitaker
aspers	aspers		1	whitaker
aspersio	aspersion		1	whitaker
asperugo	asperugin		1	whitaker
asphalti	asphalti		1	whitaker
aspharag	aspharag	~ Gallicus => samphire/garden fennel	1	whitaker
asphodel	asphodel		2	whitaker
aspici	aspic		1	whitaker
aspilat	aspilat		1	whitaker
aspir	aspir		1	whitaker
aspiramen	aspiramin		1	whitaker
aspiratio	aspiration		2	whitaker
aspirator	aspirator		1	whitaker
aspiratr	aspiratr		1	whitaker
aspirin	aspirin		1	whitaker
aspis	aspid		2	whitaker
aspisatis	aspisat		1	whitaker
asplen	asplen		3	whitaker
asport	asport		1	whitaker
asportatio	asportation		1	whitaker
aspratil	aspratil		1	whitaker
aspredo	aspredin		1	whitaker
aspret	aspret		1	whitaker
aspriter	ADV		1	whitaker
aspritudo	aspritudin		1	whitaker
aspu	aspu		1	whitaker
ass	ad		6	whitaker
assari	assari		2	whitaker
assatur	assatur		1	whitaker
assecl	assecl		1	whitaker
assect	assect		1	whitaker
assectatio	assectation		1	whitaker
assectator	assectator		1	whitaker
assecue	ADV		1	whitaker
assecul	assecul		1	whitaker
assecuratio	assecuration		1	whitaker
assecutio	assecution		1	whitaker
assecutor	assecutor		1	whitaker
assedo	assedon		1	whitaker
assefoli	assefoli		1	whitaker
assell	assell		1	whitaker
assenesc	assenesc		1	whitaker
assens	assens		1	whitaker
assensio	assension		1	whitaker
assensor	assensor		1	whitaker
assent	assent		1	whitaker
assentatio	assentation		1	whitaker
assentatiuncul	assentatiuncul		1	whitaker
assentator	assentator		1	whitaker
assentatorie	ADV		1	whitaker
assentatrix	assentatric		1	whitaker
assenti	assent		2	whitaker
assequ	assequ		1	whitaker
assequel	assequel		1	whitaker
asser	asser		3	whitaker
assercul	assercul		2	whitaker
assert	assert		1	whitaker
assertio	assertion		2	whitaker
assertor	assertor		1	whitaker
assertori	assertori		1	whitaker
asserv	asserv		1	whitaker
asservatio	asservation		1	whitaker
asservi	asserv		1	whitaker
assesio	assesion		1	whitaker
assess	assess		1	whitaker
assessio	assession		1	whitaker
assessor	assessor		1	whitaker
assessori	assessori		2	whitaker
assessur	assessur		1	whitaker
assestrix	assestric		1	whitaker
assever	assever		1	whitaker
asseveranter	ADV		1	whitaker
asseverate	ADV		1	whitaker
asseveratio	asseveration		1	whitaker
assibil	assibil		1	whitaker
assicc	assicc		1	whitaker
assiccesc	assiccesc		1	whitaker
assicul	assicul		1	whitaker
assid	assid		2	whitaker
assidu	assidu		3	whitaker
assidue	assiduius		1	whitaker
assiduitas	assiduitat		1	whitaker
assiduo	ADV		1	whitaker
assiforn	assiforn		1	whitaker
assign	assign		1	whitaker
assignatio	assignation		1	whitaker
assignator	assignator		1	whitaker
assignific	assignific		1	whitaker
assili	assil		1	whitaker
assimil	assimil		3	whitaker
assimilanter	ADV		1	whitaker
assimilat	assimilat		1	whitaker
assimilatio	assimilation		1	whitaker
assimiliter	ADV		1	whitaker
assimul	assimul		1	whitaker
assimulanter	ADV		1	whitaker
assimulat	assimulat		1	whitaker
assimulatici	assimulatici		1	whitaker
assimulatio	assimulation		1	whitaker
assimuliter	ADV		1	whitaker
assipondi	assipondi		1	whitaker
assirat	assirat		1	whitaker
assis	ass		3	whitaker
assisi	Assisi		1	whitaker
assisinas	Assisinat		1	whitaker
assist	assist		1	whitaker
assistenti	assistenti		1	whitaker
assistrix	assistric		1	whitaker
assit	assit		1	whitaker
associ	associ		2	whitaker
associatio	association		1	whitaker
assol	assol		3	whitaker
asson	asson		1	whitaker
asspersori	asspersori		1	whitaker
assu	assu		1	whitaker
assubrig	assubrig		1	whitaker
assudesc	assudesc		1	whitaker
assuefaci	assuefac		1	whitaker
assuefi	assuef		1	whitaker
assuesc	assuesc		1	whitaker
